observation_id,event_id,location_name_raw,depth_text_raw,traffic_text_raw,depth_min_cm,depth_max_cm,traffic_status,observed_at_local,as_of_local,is_flooded,source_grade,source_publisher,source_url,source_visualisation_id,source_visualisation_version,source_updated_at_utc
VNE_20251007_087,hanoi_matmo_2025_10_07,"Các tuyến Trần Hưng Đạo, Trưng Nhị Nguyễn Thị Minh Khai, Hoàng Văn Thụ Trưng Trắc",20-30 cm,Lúc 7h00 các phương tiện lưu thông chậm,20,30,slow,2025-10-07T07:00:00+07:00,2025-10-07T10:00:00+07:00,True,B,VnExpress,https://vnexpress.net/ha-noi-mua-lon-nhieu-tuyen-pho-nguy-co-ngap-4948058.html,25498819,141,2025-10-07T04:14:14.057000+00:00
VNE_20251007_088,hanoi_matmo_2025_10_07,Các tuyến đường Khu đô thị Văn Phú,Các tuyến đều ngập nước sâu 15 cm,Lúc 7h00 các phương tiện lưu thông chậm,15,15,slow,2025-10-07T07:00:00+07:00,2025-10-07T10:00:00+07:00,True,B,VnExpress,https://vnexpress.net/ha-noi-mua-lon-nhieu-tuyen-pho-nguy-co-ngap-4948058.html,25498819,141,2025-10-07T04:14:14.057000+00:00
VNE_20251007_089,hanoi_matmo_2025_10_07,"Ngã 4 đảo giao thông Lê trọng Tấn, Nguyễn Thanh Bình - Nguyễn Trác - Dương Nội",20 - 30 cm,Lúc 7h00 các phương tiện lưu thông chậm,20,30,slow,2025-10-07T07:00:00+07:00,2025-10-07T10:00:00+07:00,True,B,VnExpress,https://vnexpress.net/ha-noi-mua-lon-nhieu-tuyen-pho-nguy-co-ngap-4948058.html,25498819,141,2025-10-07T04:14:14.057000+00:00
VNE_20251007_090,hanoi_matmo_2025_10_07,Phố Nhuệ Giang (đoạn cuối tuyến),20-30 cm,Lúc 7h00 các phương tiện lưu thông chậm,20,30,slow,2025-10-07T07:00:00+07:00,2025-10-07T10:00:00+07:00,True,B,VnExpress,https://vnexpress.net/ha-noi-mua-lon-nhieu-tuyen-pho-nguy-co-ngap-4948058.html,25498819,141,2025-10-07T04:14:14.057000+00:00
VNE_20251007_091,hanoi_matmo_2025_10_07,Đường Nguyễn khuyến đoạn cuối tuyến giao với Yên Phúc Bạch - Thái Bưởi - Nguyễn Xuân Hà,20-30 cm,Lúc 7h00 các phương tiện lưu thông chậm,20,30,slow,2025-10-07T07:00:00+07:00,2025-10-07T10:00:00+07:00,True,B,VnExpress,https://vnexpress.net/ha-noi-mua-lon-nhieu-tuyen-pho-nguy-co-ngap-4948058.html,25498819,141,2025-10-07T04:14:14.057000+00:00
VNE_20251007_092,hanoi_matmo_2025_10_07,Phố Hoàng Đôn Hoà,TB 15 cm,Lúc 7h00 các phương tiện lưu thông chậm,15,15,slow,2025-10-07T07:00:00+07:00,2025-10-07T10:00:00+07:00,True,B,VnExpress,https://vnexpress.net/ha-noi-mua-lon-nhieu-tuyen-pho-nguy-co-ngap-4948058.html,25498819,141,2025-10-07T04:14:14.057000+00:00
VNE_20251007_093,hanoi_matmo_2025_10_07,Cổ Linh- Cầu Vĩnh Tuy,TB 15 cm,Lúc 10h00 các phương tiện vẫn lưu thông được,15,15,passable,2025-10-07T10:00:00+07:00,2025-10-07T10:00:00+07:00,True,B,VnExpress,https://vnexpress.net/ha-noi-mua-lon-nhieu-tuyen-pho-nguy-co-ngap-4948058.html,25498819,141,2025-10-07T04:14:14.057000+00:00
VNE_20251007_094,hanoi_matmo_2025_10_07,Hầm chui Ram AB nút Pháp Vân  đường Vành đai 3,15 cm ở lề đường,Lúc 10h00 các phương tiện lưu thông chậm,15,15,slow,2025-10-07T10:00:00+07:00,2025-10-07T10:00:00+07:00,True,B,VnExpress,https://vnexpress.net/ha-noi-mua-lon-nhieu-tuyen-pho-nguy-co-ngap-4948058.html,25498819,141,2025-10-07T04:14:14.057000+00:00
VNE_20251007_095,hanoi_matmo_2025_10_07,Tuyến Thiên Đức đoạn gầm cầu đường sắt,30 cm,Các phương tiện không lưu thông được,30,30,impassable,,2025-10-07T10:00:00+07:00,True,B,VnExpress,https://vnexpress.net/ha-noi-mua-lon-nhieu-tuyen-pho-nguy-co-ngap-4948058.html,25498819,141,2025-10-07T04:14:14.057000+00:00
VNE_20251007_096,hanoi_matmo_2025_10_07,Đường 421B: Km11+300: Cầu Đông Yên,50 cm,Phương án phân luồng theo chỉ đạo của Sở Xây Dựng,50,50,diverted,,2025-10-07T10:00:00+07:00,True,B,VnExpress,https://vnexpress.net/ha-noi-mua-lon-nhieu-tuyen-pho-nguy-co-ngap-4948058.html,25498819,141,2025-10-07T04:14:14.057000+00:00
