model,ward_code,ward_latitude,ward_longitude,grid_latitude,grid_longitude,elevation_m
era5,00136,21.041206,105.918002,21.000000,106.000000,9
era5,00145,21.022643,105.898791,21.000000,106.000000,12
era5,00160,21.043764,105.793736,21.000000,105.750000,18
era5,00166,21.029673,105.790142,21.000000,105.750000,9
era5,00175,21.013880,105.795724,21.000000,105.750000,16
era5,00190,21.021334,105.824309,21.000000,105.750000,15
era5,00199,21.020394,105.804867,21.000000,105.750000,16
era5,00226,21.019131,105.836168,21.000000,105.750000,18
era5,00229,21.006288,105.832139,21.000000,105.750000,13
era5,00235,21.010997,105.818267,21.000000,105.750000,15
era5,00256,21.014877,105.852147,21.000000,105.750000,17
era5,00283,20.997391,105.867924,21.000000,105.750000,9
era5,00292,21.002456,105.851447,21.000000,105.750000,15
era5,00301,20.991189,105.882898,21.000000,106.000000,8
era5,00316,20.983458,105.828561,21.000000,105.750000,9
era5,00322,20.989990,105.853015,21.000000,105.750000,12
era5,00328,20.975557,105.898649,21.000000,106.000000,10
era5,00331,20.974060,105.861932,21.000000,105.750000,4
era5,00337,20.961910,105.836540,21.000000,105.750000,4
era5,00340,20.963852,105.865824,21.000000,105.750000,10
era5,00352,20.993497,105.831549,21.000000,105.750000,17
era5,00364,20.990804,105.813437,21.000000,105.750000,9
era5,00367,20.998495,105.804445,21.000000,105.750000,11
era5,00376,21.245332,105.849765,21.250000,105.750000,18
era5,00382,21.295473,105.773794,21.250000,105.750000,41
era5,00385,21.331467,105.832451,21.250000,105.750000,21
era5,00430,21.247238,105.912976,21.250000,106.000000,5
era5,00433,21.235930,105.773437,21.250000,105.750000,10
era5,00454,21.110481,105.875769,21.000000,106.000000,11
era5,00466,21.158727,105.808726,21.250000,105.750000,10
era5,00475,21.162543,105.884408,21.250000,106.000000,6
era5,00493,21.125866,105.760677,21.250000,105.750000,10
era5,00508,21.103496,105.817545,21.000000,105.750000,10
era5,00541,21.079074,105.932450,21.000000,106.000000,9
era5,00562,21.032846,105.982128,21.000000,106.000000,10
era5,00565,21.002391,105.951567,21.000000,106.000000,5
era5,00577,20.968553,105.907527,21.000000,106.000000,12
era5,00592,21.021640,105.767129,21.000000,105.750000,8
era5,00598,21.087022,105.748858,21.000000,105.750000,11
era5,00602,21.089695,105.785327,21.000000,105.750000,16
era5,00611,21.066842,105.796023,21.000000,105.750000,10
era5,00613,21.067485,105.731606,21.000000,105.750000,8
era5,00619,21.048267,105.763562,21.000000,105.750000,9
era5,00622,21.031237,105.747910,21.000000,105.750000,7
era5,00634,21.000260,105.748231,21.000000,105.750000,11
era5,00637,20.993117,105.776826,21.000000,105.750000,12
era5,00640,20.939549,105.861338,21.000000,105.750000,7
era5,00643,20.970486,105.802369,21.000000,105.750000,6
era5,00664,20.934334,105.819005,21.000000,105.750000,5
era5,00679,20.912843,105.833787,21.000000,105.750000,5
era5,00685,20.919133,105.886459,21.000000,106.000000,9
era5,04930,20.973947,105.478855,21.000000,105.500000,83
era5,08974,21.198879,105.752870,21.250000,105.750000,12
era5,08980,21.170907,105.664101,21.250000,105.750000,10
era5,08995,21.207784,105.685239,21.250000,105.750000,9
era5,09022,21.147227,105.734621,21.250000,105.750000,16
era5,09552,20.950950,105.785303,21.000000,105.750000,6
era5,09556,20.974437,105.778846,21.000000,105.750000,14
era5,09562,20.949915,105.737253,21.000000,105.750000,10
era5,09568,20.938447,105.771852,21.000000,105.750000,7
era5,09574,21.142700,105.486925,21.250000,105.500000,12
era5,09604,21.122460,105.458683,21.000000,105.500000,12
era5,09616,21.063964,105.494908,21.000000,105.500000,20
era5,09619,21.178163,105.430461,21.250000,105.500000,12
era5,09634,21.284385,105.373952,21.250000,105.250000,15
era5,09661,21.002164,105.749066,21.000000,105.750000,12
era5,09664,21.211428,105.379510,21.250000,105.500000,13
era5,09676,21.161370,105.331368,21.250000,105.250000,34
era5,09694,21.124313,105.376273,21.000000,105.500000,42
era5,09700,21.072868,105.353468,21.000000,105.250000,684
era5,09706,21.043932,105.431714,21.000000,105.500000,35
era5,09715,21.107502,105.546061,21.000000,105.500000,11
era5,09739,21.149342,105.572027,21.250000,105.500000,14
era5,09772,21.088857,105.620029,21.000000,105.500000,11
era5,09784,21.094465,105.668551,21.000000,105.750000,10
era5,09787,21.130349,105.651050,21.250000,105.750000,12
era5,09817,21.105708,105.710205,21.000000,105.750000,9
era5,09832,21.063049,105.706112,21.000000,105.750000,11
era5,09856,21.048932,105.671197,21.000000,105.750000,10
era5,09871,21.026965,105.708583,21.000000,105.750000,7
era5,09877,20.983329,105.708391,21.000000,105.750000,10
era5,09886,20.979539,105.750304,21.000000,105.750000,10
era5,09895,21.008247,105.647237,21.000000,105.750000,8
era5,09910,20.973303,105.602160,21.000000,105.500000,7
